"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "62", "SYSTEM", "Method Exit", "returner=Lsun/usagetracker/UsageTrackerClient;.setupAndTimestamp(J), value=<void>"
"main", "63", "SYSTEM", "Method Exit", "returner=Lsun/usagetracker/UsageTrackerClient;.access$000(Lsun/usagetracker/UsageTrackerClient;J) <SYNTHETIC>, value=<void>"
"main", "64", "SYSTEM", "Method Exit", "returner=Lsun/usagetracker/UsageTrackerClient$4;.run() <BRIDGE>, value=<void>"
"main", "65", "SYSTEM", "Method Exit", "returner=Lsun/usagetracker/UsageTrackerClient$4;.run() <BRIDGE>, value=<void>"
"main", "66", "SYSTEM", "Method Exit", "returner=Ljava/security/AccessController;.doPrivileged(Ljava/security/PrivilegedAction;), value=<void>"
"main", "67", "SYSTEM", "Method Exit", "returner=Ljava/security/AccessController;.doPrivileged(Ljava/security/PrivilegedAction;), value=<void>"
"main", "68", "SYSTEM", "Method Exit", "returner=Lsun/misc/PostVMInitHook;.trackJavaUsage(), value=<void>"
"main", "69", "SYSTEM", "Method Exit", "returner=Lsun/misc/PostVMInitHook;.trackJavaUsage(), value=<void>"
"main", "70", "SYSTEM", "Method Returned", ""
"main", "71", "SYSTEM", "Method Call", "caller=SYSTEM, target=part2.ReadersWriters#main:1"
"main", "72", "SYSTEM", "Method Entered", ""
"main", "73", "SYSTEM", "Variable Write", "context=part2.ReadersWriters#main:1, args=java.lang.String[0] (id=41)"
"main", "74", "SYSTEM", "Line Step", "<source unavailable>"
"main", "75", "SYSTEM", "Type Load", "class=part2.Database"
"main", "76", "SYSTEM", "New Object", "object=part2.Database:1"
"main", "77", "SYSTEM", "Method Call", "caller=part2.ReadersWriters#main:1, target=part2.Database:1#Database:1"
"main", "78", "SYSTEM", "Method Entered", ""
"main", "79", "SYSTEM", "Line Step", "<source unavailable>"
"main", "80", "SYSTEM", "Line Step", "<source unavailable>"
"main", "81", "SYSTEM", "Field Write", "context=part2.Database:1, data=0"
"main", "82", "SYSTEM", "Line Step", "<source unavailable>"
"main", "83", "SYSTEM", "Field Write", "context=part2.Database:1, r=0"
"main", "84", "SYSTEM", "Line Step", "<source unavailable>"
"main", "85", "SYSTEM", "Field Write", "context=part2.Database:1, w=0"
"main", "86", "SYSTEM", "Line Step", "<source unavailable>"
"main", "87", "SYSTEM", "Field Write", "context=part2.Database:1, ww=0"
"main", "88", "SYSTEM", "Line Step", "<source unavailable>"
"main", "89", "SYSTEM", "Field Write", "context=part2.Database:1, wr=0"
"main", "90", "SYSTEM", "Line Step", "<source unavailable>"
"main", "91", "SYSTEM", "Field Write", "context=part2.Database:1, s1=java.util.concurrent.Semaphore (id=46)"
"main", "92", "SYSTEM", "Line Step", "<source unavailable>"
"main", "93", "SYSTEM", "Field Write", "context=part2.Database:1, s2_r=java.util.concurrent.Semaphore (id=48)"
"main", "94", "SYSTEM", "Line Step", "<source unavailable>"
"main", "95", "SYSTEM", "Field Write", "context=part2.Database:1, s2_w=java.util.concurrent.Semaphore (id=49)"
"main", "96", "SYSTEM", "Line Step", "<source unavailable>"
"main", "97", "SYSTEM", "Method Exit", "returner=part2.Database:1#Database:1, value=<void>"
"main", "98", "SYSTEM", "Method Returned", ""
"main", "99", "SYSTEM", "Line Step", "<source unavailable>"
"main", "100", "SYSTEM", "Variable Write", "context=part2.ReadersWriters#main:1, d=part2.Database:1"
"main", "101", "SYSTEM", "Line Step", "<source unavailable>"
"main", "102", "SYSTEM", "Type Load", "class=java.lang.Thread"
"main", "103", "SYSTEM", "Type Load", "class=part2.Writer"
"main", "104", "SYSTEM", "New Object", "object=part2.Writer:1"
"main", "105", "SYSTEM", "Method Call", "caller=part2.ReadersWriters#main:1, target=part2.Writer:1#part2.Writer:1"
"main", "106", "SYSTEM", "Method Entered", ""
"main", "107", "SYSTEM", "Variable Write", "context=part2.Writer:1#part2.Writer:1, x=1"
"main", "108", "SYSTEM", "Variable Write", "context=part2.Writer:1#part2.Writer:1, d=part2.Database:1"
"main", "109", "SYSTEM", "Line Step", "<source unavailable>"
"main", "110", "SYSTEM", "Line Step", "<source unavailable>"
"main", "111", "SYSTEM", "Field Write", "context=part2.Writer:1, d=part2.Database:1"
"main", "112", "SYSTEM", "Line Step", "<source unavailable>"
"main", "113", "SYSTEM", "Field Write", "context=part2.Writer:1, x=1"
"main", "114", "SYSTEM", "Line Step", "<source unavailable>"
"main", "115", "SYSTEM", "Method Exit", "returner=part2.Writer:1#part2.Writer:1, value=<void>"
"main", "116", "SYSTEM", "Method Returned", ""
"main", "117", "SYSTEM", "Line Step", "<source unavailable>"
"main", "118", "SYSTEM", "Variable Write", "context=part2.ReadersWriters#main:1, w1=part2.Writer:1"
"main", "119", "SYSTEM", "Line Step", "<source unavailable>"
"main", "120", "SYSTEM", "New Object", "object=part2.Writer:2"
"main", "121", "SYSTEM", "Method Call", "caller=part2.ReadersWriters#main:1, target=part2.Writer:2#part2.Writer:2"
"main", "122", "SYSTEM", "Method Entered", ""
"main", "123", "SYSTEM", "Variable Write", "context=part2.Writer:2#part2.Writer:2, x=10"
"main", "124", "SYSTEM", "Variable Write", "context=part2.Writer:2#part2.Writer:2, d=part2.Database:1"
"main", "125", "SYSTEM", "Line Step", "<source unavailable>"
"main", "126", "SYSTEM", "Line Step", "<source unavailable>"
"main", "127", "SYSTEM", "Field Write", "context=part2.Writer:2, d=part2.Database:1"
"main", "128", "SYSTEM", "Line Step", "<source unavailable>"
"main", "129", "SYSTEM", "Field Write", "context=part2.Writer:2, x=10"
"main", "130", "SYSTEM", "Line Step", "<source unavailable>"
"main", "131", "SYSTEM", "Method Exit", "returner=part2.Writer:2#part2.Writer:2, value=<void>"
"main", "132", "SYSTEM", "Method Returned", ""
"main", "133", "SYSTEM", "Line Step", "<source unavailable>"
"main", "134", "SYSTEM", "Variable Write", "context=part2.ReadersWriters#main:1, w2=part2.Writer:2"
"main", "135", "SYSTEM", "Line Step", "<source unavailable>"
"main", "136", "SYSTEM", "New Object", "object=part2.Writer:3"
"main", "137", "SYSTEM", "Method Call", "caller=part2.ReadersWriters#main:1, target=part2.Writer:3#part2.Writer:3"
"main", "138", "SYSTEM", "Method Entered", ""
"main", "139", "SYSTEM", "Variable Write", "context=part2.Writer:3#part2.Writer:3, x=100"
"main", "140", "SYSTEM", "Variable Write", "context=part2.Writer:3#part2.Writer:3, d=part2.Database:1"
"main", "141", "SYSTEM", "Line Step", "<source unavailable>"
"main", "142", "SYSTEM", "Line Step", "<source unavailable>"
"main", "143", "SYSTEM", "Field Write", "context=part2.Writer:3, d=part2.Database:1"
"main", "144", "SYSTEM", "Line Step", "<source unavailable>"
"main", "145", "SYSTEM", "Field Write", "context=part2.Writer:3, x=100"
"main", "146", "SYSTEM", "Line Step", "<source unavailable>"
"main", "147", "SYSTEM", "Method Exit", "returner=part2.Writer:3#part2.Writer:3, value=<void>"
"main", "148", "SYSTEM", "Method Returned", ""
"main", "149", "SYSTEM", "Line Step", "<source unavailable>"
"main", "150", "SYSTEM", "Variable Write", "context=part2.ReadersWriters#main:1, w3=part2.Writer:3"
"main", "151", "SYSTEM", "Line Step", "<source unavailable>"
"main", "152", "SYSTEM", "New Object", "object=part2.Writer:4"
"main", "153", "SYSTEM", "Method Call", "caller=part2.ReadersWriters#main:1, target=part2.Writer:4#part2.Writer:4"
"main", "154", "SYSTEM", "Method Entered", ""
"main", "155", "SYSTEM", "Variable Write", "context=part2.Writer:4#part2.Writer:4, x=1000"
"main", "156", "SYSTEM", "Variable Write", "context=part2.Writer:4#part2.Writer:4, d=part2.Database:1"
"main", "157", "SYSTEM", "Line Step", "<source unavailable>"
"main", "158", "SYSTEM", "Line Step", "<source unavailable>"
"main", "159", "SYSTEM", "Field Write", "context=part2.Writer:4, d=part2.Database:1"
"main", "160", "SYSTEM", "Line Step", "<source unavailable>"
"main", "161", "SYSTEM", "Field Write", "context=part2.Writer:4, x=1000"
"main", "162", "SYSTEM", "Line Step", "<source unavailable>"
"main", "163", "SYSTEM", "Method Exit", "returner=part2.Writer:4#part2.Writer:4, value=<void>"
"main", "164", "SYSTEM", "Method Returned", ""
"main", "165", "SYSTEM", "Line Step", "<source unavailable>"
"main", "166", "SYSTEM", "Variable Write", "context=part2.ReadersWriters#main:1, w4=part2.Writer:4"
"main", "167", "SYSTEM", "Line Step", "<source unavailable>"
"main", "168", "SYSTEM", "New Object", "object=part2.Writer:5"
"main", "169", "SYSTEM", "Method Call", "caller=part2.ReadersWriters#main:1, target=part2.Writer:5#part2.Writer:5"
"main", "170", "SYSTEM", "Method Entered", ""
"main", "171", "SYSTEM", "Variable Write", "context=part2.Writer:5#part2.Writer:5, x=10000"
"main", "172", "SYSTEM", "Variable Write", "context=part2.Writer:5#part2.Writer:5, d=part2.Database:1"
"main", "173", "SYSTEM", "Line Step", "<source unavailable>"
"main", "174", "SYSTEM", "Line Step", "<source unavailable>"
"main", "175", "SYSTEM", "Field Write", "context=part2.Writer:5, d=part2.Database:1"
"main", "176", "SYSTEM", "Line Step", "<source unavailable>"
"main", "177", "SYSTEM", "Field Write", "context=part2.Writer:5, x=10000"
"main", "178", "SYSTEM", "Line Step", "<source unavailable>"
"main", "179", "SYSTEM", "Method Exit", "returner=part2.Writer:5#part2.Writer:5, value=<void>"
"main", "180", "SYSTEM", "Method Returned", ""
"main", "181", "SYSTEM", "Line Step", "<source unavailable>"
"main", "182", "SYSTEM", "Variable Write", "context=part2.ReadersWriters#main:1, w5=part2.Writer:5"
"main", "183", "SYSTEM", "Line Step", "<source unavailable>"
"main", "184", "SYSTEM", "Type Load", "class=part2.Reader"
"main", "185", "SYSTEM", "New Object", "object=part2.Reader:1"
"main", "186", "SYSTEM", "Method Call", "caller=part2.ReadersWriters#main:1, target=part2.Reader:1#part2.Reader:1"
"main", "187", "SYSTEM", "Method Entered", ""
"main", "188", "SYSTEM", "Variable Write", "context=part2.Reader:1#part2.Reader:1, d=part2.Database:1"
"main", "189", "SYSTEM", "Line Step", "<source unavailable>"
"main", "190", "SYSTEM", "Line Step", "<source unavailable>"
"main", "191", "SYSTEM", "Field Write", "context=part2.Reader:1, d=part2.Database:1"
"main", "192", "SYSTEM", "Line Step", "<source unavailable>"
"main", "193", "SYSTEM", "Method Exit", "returner=part2.Reader:1#part2.Reader:1, value=<void>"
"main", "194", "SYSTEM", "Method Returned", ""
"main", "195", "SYSTEM", "Line Step", "<source unavailable>"
"main", "196", "SYSTEM", "Variable Write", "context=part2.ReadersWriters#main:1, r1=part2.Reader:1"
"main", "197", "SYSTEM", "Line Step", "<source unavailable>"
"main", "198", "SYSTEM", "New Object", "object=part2.Reader:2"
"main", "199", "SYSTEM", "Method Call", "caller=part2.ReadersWriters#main:1, target=part2.Reader:2#part2.Reader:2"
"main", "200", "SYSTEM", "Method Entered", ""
"main", "201", "SYSTEM", "Variable Write", "context=part2.Reader:2#part2.Reader:2, d=part2.Database:1"
"main", "202", "SYSTEM", "Line Step", "<source unavailable>"
"main", "203", "SYSTEM", "Line Step", "<source unavailable>"
"main", "204", "SYSTEM", "Field Write", "context=part2.Reader:2, d=part2.Database:1"
"main", "205", "SYSTEM", "Line Step", "<source unavailable>"
"main", "206", "SYSTEM", "Method Exit", "returner=part2.Reader:2#part2.Reader:2, value=<void>"
"main", "207", "SYSTEM", "Method Returned", ""
"main", "208", "SYSTEM", "Line Step", "<source unavailable>"
"main", "209", "SYSTEM", "Variable Write", "context=part2.ReadersWriters#main:1, r2=part2.Reader:2"
"main", "210", "SYSTEM", "Line Step", "<source unavailable>"
"main", "211", "SYSTEM", "New Object", "object=part2.Reader:3"
"main", "212", "SYSTEM", "Method Call", "caller=part2.ReadersWriters#main:1, target=part2.Reader:3#part2.Reader:3"
"main", "213", "SYSTEM", "Method Entered", ""
"main", "214", "SYSTEM", "Variable Write", "context=part2.Reader:3#part2.Reader:3, d=part2.Database:1"
"main", "215", "SYSTEM", "Line Step", "<source unavailable>"
"main", "216", "SYSTEM", "Line Step", "<source unavailable>"
"main", "217", "SYSTEM", "Field Write", "context=part2.Reader:3, d=part2.Database:1"
"main", "218", "SYSTEM", "Line Step", "<source unavailable>"
"main", "219", "SYSTEM", "Method Exit", "returner=part2.Reader:3#part2.Reader:3, value=<void>"
"main", "220", "SYSTEM", "Method Returned", ""
"main", "221", "SYSTEM", "Line Step", "<source unavailable>"
"main", "222", "SYSTEM", "Variable Write", "context=part2.ReadersWriters#main:1, r3=part2.Reader:3"
"main", "223", "SYSTEM", "Line Step", "<source unavailable>"
"main", "224", "SYSTEM", "New Object", "object=part2.Reader:4"
"main", "225", "SYSTEM", "Method Call", "caller=part2.ReadersWriters#main:1, target=part2.Reader:4#part2.Reader:4"
"main", "226", "SYSTEM", "Method Entered", ""
"main", "227", "SYSTEM", "Variable Write", "context=part2.Reader:4#part2.Reader:4, d=part2.Database:1"
"main", "228", "SYSTEM", "Line Step", "<source unavailable>"
"main", "229", "SYSTEM", "Line Step", "<source unavailable>"
"main", "230", "SYSTEM", "Field Write", "context=part2.Reader:4, d=part2.Database:1"
"main", "231", "SYSTEM", "Line Step", "<source unavailable>"
"main", "232", "SYSTEM", "Method Exit", "returner=part2.Reader:4#part2.Reader:4, value=<void>"
"main", "233", "SYSTEM", "Method Returned", ""
"main", "234", "SYSTEM", "Line Step", "<source unavailable>"
"main", "235", "SYSTEM", "Variable Write", "context=part2.ReadersWriters#main:1, r4=part2.Reader:4"
"main", "236", "SYSTEM", "Line Step", "<source unavailable>"
"main", "237", "SYSTEM", "New Object", "object=part2.Reader:5"
"main", "238", "SYSTEM", "Method Call", "caller=part2.ReadersWriters#main:1, target=part2.Reader:5#part2.Reader:5"
"main", "239", "SYSTEM", "Method Entered", ""
"main", "240", "SYSTEM", "Variable Write", "context=part2.Reader:5#part2.Reader:5, d=part2.Database:1"
"main", "241", "SYSTEM", "Line Step", "<source unavailable>"
"main", "242", "SYSTEM", "Line Step", "<source unavailable>"
"main", "243", "SYSTEM", "Field Write", "context=part2.Reader:5, d=part2.Database:1"
"main", "244", "SYSTEM", "Line Step", "<source unavailable>"
"main", "245", "SYSTEM", "Method Exit", "returner=part2.Reader:5#part2.Reader:5, value=<void>"
"main", "246", "SYSTEM", "Method Returned", ""
"main", "247", "SYSTEM", "Line Step", "<source unavailable>"
"main", "248", "SYSTEM", "Variable Write", "context=part2.ReadersWriters#main:1, r5=part2.Reader:5"
"main", "249", "SYSTEM", "Line Step", "<source unavailable>"
"main", "250", "SYSTEM", "New Object", "object=part2.Reader:6"
"main", "251", "SYSTEM", "Method Call", "caller=part2.ReadersWriters#main:1, target=part2.Reader:6#part2.Reader:6"
"main", "252", "SYSTEM", "Method Entered", ""
"main", "253", "SYSTEM", "Variable Write", "context=part2.Reader:6#part2.Reader:6, d=part2.Database:1"
"main", "254", "SYSTEM", "Line Step", "<source unavailable>"
"main", "255", "SYSTEM", "Line Step", "<source unavailable>"
"main", "256", "SYSTEM", "Field Write", "context=part2.Reader:6, d=part2.Database:1"
"main", "257", "SYSTEM", "Line Step", "<source unavailable>"
"main", "258", "SYSTEM", "Method Exit", "returner=part2.Reader:6#part2.Reader:6, value=<void>"
"main", "259", "SYSTEM", "Method Returned", ""
"main", "260", "SYSTEM", "Line Step", "<source unavailable>"
"main", "261", "SYSTEM", "Variable Write", "context=part2.ReadersWriters#main:1, r6=part2.Reader:6"
"main", "262", "SYSTEM", "Line Step", "<source unavailable>"
"main", "263", "SYSTEM", "New Object", "object=part2.Reader:7"
"main", "264", "SYSTEM", "Method Call", "caller=part2.ReadersWriters#main:1, target=part2.Reader:7#part2.Reader:7"
"main", "265", "SYSTEM", "Method Entered", ""
"main", "266", "SYSTEM", "Variable Write", "context=part2.Reader:7#part2.Reader:7, d=part2.Database:1"
"main", "267", "SYSTEM", "Line Step", "<source unavailable>"
"main", "268", "SYSTEM", "Line Step", "<source unavailable>"
"main", "269", "SYSTEM", "Field Write", "context=part2.Reader:7, d=part2.Database:1"
"main", "270", "SYSTEM", "Line Step", "<source unavailable>"
"main", "271", "SYSTEM", "Method Exit", "returner=part2.Reader:7#part2.Reader:7, value=<void>"
"main", "272", "SYSTEM", "Method Returned", ""
"main", "273", "SYSTEM", "Line Step", "<source unavailable>"
"main", "274", "SYSTEM", "Variable Write", "context=part2.ReadersWriters#main:1, r7=part2.Reader:7"
"main", "275", "SYSTEM", "Line Step", "<source unavailable>"
"main", "276", "SYSTEM", "New Object", "object=part2.Reader:8"
"main", "277", "SYSTEM", "Method Call", "caller=part2.ReadersWriters#main:1, target=part2.Reader:8#part2.Reader:8"
"main", "278", "SYSTEM", "Method Entered", ""
"main", "279", "SYSTEM", "Variable Write", "context=part2.Reader:8#part2.Reader:8, d=part2.Database:1"
"main", "280", "SYSTEM", "Line Step", "<source unavailable>"
"main", "281", "SYSTEM", "Line Step", "<source unavailable>"
"main", "282", "SYSTEM", "Field Write", "context=part2.Reader:8, d=part2.Database:1"
"main", "283", "SYSTEM", "Line Step", "<source unavailable>"
"main", "284", "SYSTEM", "Method Exit", "returner=part2.Reader:8#part2.Reader:8, value=<void>"
"main", "285", "SYSTEM", "Method Returned", ""
"main", "286", "SYSTEM", "Line Step", "<source unavailable>"
"main", "287", "SYSTEM", "Variable Write", "context=part2.ReadersWriters#main:1, r8=part2.Reader:8"
"main", "288", "SYSTEM", "Line Step", "<source unavailable>"
"main", "289", "SYSTEM", "New Object", "object=part2.Reader:9"
"main", "290", "SYSTEM", "Method Call", "caller=part2.ReadersWriters#main:1, target=part2.Reader:9#part2.Reader:9"
"main", "291", "SYSTEM", "Method Entered", ""
"main", "292", "SYSTEM", "Variable Write", "context=part2.Reader:9#part2.Reader:9, d=part2.Database:1"
"main", "293", "SYSTEM", "Line Step", "<source unavailable>"
"main", "294", "SYSTEM", "Line Step", "<source unavailable>"
"main", "295", "SYSTEM", "Field Write", "context=part2.Reader:9, d=part2.Database:1"
"main", "296", "SYSTEM", "Line Step", "<source unavailable>"
"main", "297", "SYSTEM", "Method Exit", "returner=part2.Reader:9#part2.Reader:9, value=<void>"
"main", "298", "SYSTEM", "Method Returned", ""
"main", "299", "SYSTEM", "Line Step", "<source unavailable>"
"main", "300", "SYSTEM", "Variable Write", "context=part2.ReadersWriters#main:1, r9=part2.Reader:9"
"main", "301", "SYSTEM", "Line Step", "<source unavailable>"
"main", "302", "SYSTEM", "New Object", "object=part2.Reader:10"
"main", "303", "SYSTEM", "Method Call", "caller=part2.ReadersWriters#main:1, target=part2.Reader:10#part2.Reader:10"
"main", "304", "SYSTEM", "Method Entered", ""
"main", "305", "SYSTEM", "Variable Write", "context=part2.Reader:10#part2.Reader:10, d=part2.Database:1"
"main", "306", "SYSTEM", "Line Step", "<source unavailable>"
